[2026-03-06 11:27:25] info: 	z2m: Logging to console, file (filename: log.log)
[2026-03-06 11:27:25] info: 	z2m: Starting Zigbee2MQTT version 2.8.0 (commit #b0b02c30b2e58c94043298c14848c90a0f74a24a
)
[2026-03-06 11:27:25] info: 	z2m: Starting zigbee-herdsman (9.0.2)
[2026-03-06 11:27:25] info: 	zh:zstack:znp: Opening TCP socket with 10.130.136.245:6638
[2026-03-06 11:27:25] info: 	zh:zstack:znp: Socket connected
[2026-03-06 11:27:25] info: 	zh:zstack:znp: Socket ready
[2026-03-06 11:27:25] info: 	zh:zstack:znp: Writing CC2530/CC2531 skip bootloader payload
[2026-03-06 11:27:26] info: 	zh:zstack:znp: Skip bootloader for CC2652/CC1352
[2026-03-06 11:27:27] info: 	z2m: zigbee-herdsman started (resumed)
[2026-03-06 11:27:27] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":1,"majorrel":2,"minorrel":7,"product":1,"revision":20240710,"transportrev":2},"type":"ZStack3x0"}'
[2026-03-06 11:27:27] info: 	z2m: 0x00158d000726efac (0x00158d000726efac): DJT11LM - Aqara Vibration sensor (EndDevice)
[2026-03-06 11:27:27] info: 	z2m: 0x84b4dbfffe04387b (0x84b4dbfffe04387b): HS3HT - Heiman Temperature & humidity sensor with display (EndDevice)
[2026-03-06 11:27:27] info: 	z2m: 0x54ef4410007777e0 (0x54ef4410007777e0): RTCGQ14LM - Aqara Motion sensor P1 (EndDevice)
[2026-03-06 11:27:27] info: 	z2m: 0x0015bc0036001014 (0x0015bc0036001014): AQSZB-110 - Develco Air quality sensor (EndDevice)
[2026-03-06 11:27:27] info: 	z2m: 0x44e2f8fffe37bbaa (0x44e2f8fffe37bbaa): LED2107C4 - IKEA TRADFRI bulb E14, white spectrum, candle, opal, 470 lm (Router)
[2026-03-06 11:27:27] info: 	z2m: Currently 5 devices are joined.
[2026-03-06 11:27:27] info: 	z2m: Connecting to MQTT server at mqtt://mqtt:1883
[2026-03-06 11:27:27] info: 	z2m: Connected to MQTT server
[2026-03-06 11:27:27] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"online"}'
[2026-03-06 11:27:27] info: 	z2m: Started frontend on port 8080
